Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OWN,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,rOWN,rFPTS
TOP,Morgan (14470218),Morgan,14470218,TOP,7400,LGD@WE 04/02/2020 02:00AM ET,WE,0.28,0.12,21.00,11.00,10.00,0.52,2.33,2.76,5.95,3.00,232.19,7.45,11.50,369.00,0.58,0.16,0.21,7.00,0.13,102.92
TOP,ADD (14470228),ADD,14470228,TOP,7000,RW@BLG 04/02/2020 04:00AM ET,BLG,0.51,0.17,3.00,2.00,1.00,0.67,3.00,2.00,8.33,5.67,218.00,6.89,11.60,366.00,0.74,0.20,0.21,2.00,0.15,0.60
TOP,Nuguri (14470184),Nuguri,14470184,TOP,6800,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.14,0.05,29.00,13.00,16.00,0.45,2.83,3.34,4.17,2.09,291.90,8.66,13.70,406.00,0.64,0.26,0.23,16.00,0.06,92.50
TOP,Kiin (14470154),Kiin,14470154,TOP,6600,AF@APK 04/02/2020 02:00AM ET,AF,0.17,0.08,31.00,15.00,16.00,0.48,2.10,2.48,4.35,2.60,292.19,8.31,13.40,381.00,0.62,0.20,0.23,13.00,0.08,48.62
TOP,Doran (14470193),Doran,14470193,TOP,6200,KT@DRX 04/02/2020 05:30AM ET,DRX,0.20,0.09,27.00,17.00,10.00,0.63,2.22,2.41,4.81,2.92,270.70,8.10,12.60,377.00,0.56,0.18,0.21,9.00,0.10,86.48
TOP,Holder (14470237),Holder,14470237,TOP,5800,RW@BLG 04/02/2020 04:00AM ET,RW,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,71.06
TOP,Biubiu (14470244),Biubiu,14470244,TOP,5800,SN@TES 04/02/2020 05:30AM ET,SN,0.24,0.10,19.00,10.00,9.00,0.53,2.37,2.89,6.74,3.15,213.32,6.66,11.40,354.00,0.63,0.16,0.20,6.00,0.11,51.94
TOP,CuVee (14470176),CuVee,14470176,TOP,5400,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.02,0.01,30.00,11.00,19.00,0.37,2.27,3.00,3.53,1.93,250.37,7.57,11.90,360.00,0.62,0.24,0.22,14.00,0.02,5.84
TOP,ikssu (14470165),ikssu,14470165,TOP,5000,AF@APK 04/02/2020 02:00AM ET,APK,0.10,0.05,26.00,8.00,18.00,0.31,2.04,3.50,4.46,1.86,230.77,6.67,11.40,330.00,0.65,0.20,0.20,9.00,0.02,81.82
TOP,Cult (14470209),Cult,14470209,TOP,5000,LGD@WE 04/02/2020 02:00AM ET,LGD,0.08,0.04,3.00,1.00,2.00,0.33,2.00,3.00,3.33,1.78,247.00,7.52,11.30,344.00,0.52,0.19,0.21,2.00,0.03,80.02
TOP,SoHwan (14470200),SoHwan,14470200,TOP,4600,KT@DRX 04/02/2020 05:30AM ET,KT,0.11,0.08,24.00,13.00,11.00,0.54,1.38,1.75,3.29,2.67,247.50,7.96,11.10,359.00,0.49,0.14,0.21,11.00,0.03,9.46
TEAM,Bilibili Gaming (14470235),Bilibili Gaming,14470235,TEAM,6000,RW@BLG 04/02/2020 04:00AM ET,BLG,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,30.00
TEAM,Afreeca Freecs (14470164),Afreeca Freecs,14470164,TEAM,5800,AF@APK 04/02/2020 02:00AM ET,AF,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TEAM,Top Esports (14470260),Top Esports,14470260,TEAM,5600,SN@TES 04/02/2020 05:30AM ET,TES,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,57.00
TEAM,Team WE (14470226),Team WE,14470226,TEAM,5400,LGD@WE 04/02/2020 02:00AM ET,WE,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,51.00
TEAM,DAMWON Gaming (14470192),DAMWON Gaming,14470192,TEAM,5200,DWG@HLE 04/02/2020 04:00AM ET,DWG,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,67.00
TEAM,DragonX (14470199),DragonX,14470199,TEAM,5000,KT@DRX 04/02/2020 05:30AM ET,DRX,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,60.00
TEAM,Hanwha Life Esports (14470183),Hanwha Life Esports,14470183,TEAM,4800,DWG@HLE 04/02/2020 04:00AM ET,HLE,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,2.00
TEAM,KT Rolster (14470207),KT Rolster,14470207,TEAM,4600,KT@DRX 04/02/2020 05:30AM ET,KT,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,10.00
