Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,4.010000,4.310000,3.950000,4.250000,4.250000,1065000
2019-04-02,3.850000,4.228000,3.780000,4.150000,4.150000,515600
2019-04-03,4.130000,4.200000,4.060000,4.110000,4.110000,225400
2019-04-04,4.110000,4.110000,3.930000,3.970000,3.970000,164100
2019-04-05,4.020000,4.090000,3.940000,3.940000,3.940000,159900
2019-04-08,3.990000,4.240000,3.950000,4.180000,4.180000,207900
2019-04-09,4.140000,4.550000,4.050000,4.440000,4.440000,424300
2019-04-10,4.490000,4.580000,4.150000,4.500000,4.500000,367900
2019-04-11,4.500000,4.580000,4.350000,4.490000,4.490000,225300
2019-04-12,4.500000,4.577000,4.200000,4.380000,4.380000,198700
2019-04-15,4.280000,4.370000,4.150000,4.220000,4.220000,142800
2019-04-16,4.200000,4.410000,4.156000,4.300000,4.300000,96600
2019-04-17,4.290000,4.290000,4.060000,4.120000,4.120000,147000
2019-04-18,4.190000,4.240000,3.940000,4.150000,4.150000,162800
2019-04-22,4.100000,4.200000,4.055000,4.170000,4.170000,58300
2019-04-23,4.190000,4.470000,4.100000,4.430000,4.430000,211800
2019-04-24,4.420000,4.480000,4.315000,4.410000,4.410000,87000
2019-04-25,4.430000,4.450000,4.250000,4.300000,4.300000,119400
2019-04-26,4.300000,4.350000,4.250000,4.330000,4.330000,76900
2019-04-29,4.320000,4.460000,4.300000,4.460000,4.460000,138300
2019-04-30,4.450000,4.500000,4.130000,4.300000,4.300000,164600
2019-05-01,4.300000,4.360000,4.120000,4.130000,4.130000,116300
2019-05-02,4.080000,4.110000,3.850000,4.040000,4.040000,154800
2019-05-03,4.040000,4.390000,3.928000,4.360000,4.360000,138800
2019-05-06,4.250000,4.500000,4.170000,4.450000,4.450000,137700
2019-05-07,4.490000,4.500000,4.330000,4.460000,4.460000,96900
2019-05-08,4.450000,4.510000,4.340000,4.480000,4.480000,137900
2019-05-09,4.400000,4.490000,4.150000,4.160000,4.160000,126500
2019-05-10,4.180000,4.460000,4.090000,4.390000,4.390000,141900
2019-05-13,4.240000,4.280000,4.070000,4.210000,4.210000,128400
2019-05-14,4.240000,4.450000,4.130000,4.280000,4.280000,101500
2019-05-15,4.390000,5.110000,4.000000,5.040000,5.040000,579500
2019-05-16,5.110000,5.110000,4.800000,5.080000,5.080000,332500
2019-05-17,5.020000,5.600000,4.910000,5.450000,5.450000,612800
2019-05-20,5.410000,5.560000,5.050000,5.160000,5.160000,372100
2019-05-21,5.130000,5.160000,4.850000,5.050000,5.050000,464100
2019-05-22,5.030000,5.100000,4.880000,4.940000,4.940000,131300
2019-05-23,4.890000,4.897000,4.466000,4.790000,4.790000,194700
2019-05-24,4.770000,4.890000,4.450000,4.480000,4.480000,98100
2019-05-28,4.460000,4.645000,4.400000,4.410000,4.410000,111200
2019-05-29,4.300000,4.493000,4.140000,4.210000,4.210000,116900
2019-05-30,4.180000,4.320000,4.020000,4.070000,4.070000,132300
2019-05-31,4.060000,4.110000,3.800000,3.930000,3.930000,213300
2019-06-03,3.850000,3.945000,3.560000,3.660000,3.660000,327900
2019-06-04,3.660000,3.840000,3.590000,3.660000,3.660000,195200
2019-06-05,3.650000,4.180000,3.650000,4.070000,4.070000,402900
2019-06-06,3.990000,3.990000,3.500000,3.730000,3.730000,330100
2019-06-07,3.820000,4.140000,3.770000,4.090000,4.090000,206600
2019-06-10,4.190000,4.190000,3.790000,3.920000,3.920000,171600
2019-06-11,3.910000,3.940000,3.400000,3.500000,3.500000,370100
2019-06-12,3.410000,3.830000,3.350000,3.770000,3.770000,197000
2019-06-13,3.810000,3.880000,3.630000,3.780000,3.780000,84400
2019-06-14,3.810000,3.851000,3.550000,3.680000,3.680000,78300
2019-06-17,3.670000,4.090000,3.510000,4.090000,4.090000,202600
2019-06-18,4.010000,4.071000,3.650000,3.710000,3.710000,193400
2019-06-19,3.730000,3.888000,3.650000,3.740000,3.740000,125800
2019-06-20,3.760000,3.800000,3.580000,3.610000,3.610000,82700
2019-06-21,3.610000,4.330000,3.530000,4.310000,4.310000,483800
2019-06-24,4.170000,4.195000,3.850000,3.880000,3.880000,249100
2019-06-25,3.880000,4.050000,3.880000,3.990000,3.990000,137000
2019-06-26,3.310000,3.490000,2.360000,2.520000,2.520000,2867200
2019-06-27,2.500000,2.690000,2.400000,2.500000,2.500000,524100
2019-06-28,2.550000,2.730000,2.400000,2.490000,2.490000,3165800
2019-07-01,2.550000,2.630000,2.450000,2.510000,2.510000,375000
2019-07-02,2.230000,2.230000,1.880000,1.980000,1.980000,1989900
2019-07-03,2.050000,2.140000,1.980000,2.050000,2.050000,587800
2019-07-05,2.050000,2.190000,1.950000,2.130000,2.130000,628500
2019-07-08,2.150000,2.240000,2.050000,2.230000,2.230000,358100
2019-07-09,2.210000,2.230000,1.990000,2.030000,2.030000,504600
2019-07-10,2.030000,2.220000,2.000000,2.190000,2.190000,326400
2019-07-11,2.200000,2.200000,2.010000,2.040000,2.040000,304500
2019-07-12,2.060000,2.130000,2.010000,2.040000,2.040000,200600
2019-07-15,2.050000,2.240000,2.050000,2.190000,2.190000,439800
2019-07-16,2.190000,2.190000,2.050000,2.080000,2.080000,167500
2019-07-17,2.100000,2.190000,2.040000,2.120000,2.120000,158200
2019-07-18,2.130000,2.150000,2.050000,2.070000,2.070000,143300
2019-07-19,2.060000,2.120000,2.050000,2.060000,2.060000,91300
2019-07-22,2.060000,2.150000,1.980000,1.990000,1.990000,259900
2019-07-23,1.980000,1.980000,1.890000,1.890000,1.890000,331500
2019-07-24,1.880000,2.030000,1.770000,1.980000,1.980000,317400
2019-07-25,2.000000,2.024000,1.860000,1.900000,1.900000,158600
2019-07-26,1.930000,2.010000,1.900000,1.930000,1.930000,137300
2019-07-29,1.940000,1.970000,1.850000,1.910000,1.910000,172800
2019-07-30,1.910000,1.950000,1.850000,1.850000,1.850000,144600
2019-07-31,1.870000,1.871000,1.770000,1.770000,1.770000,240600
2019-08-01,1.780000,1.790000,1.640000,1.640000,1.640000,281200
2019-08-02,1.650000,1.727000,1.570000,1.670000,1.670000,141000
2019-08-05,1.670000,1.850000,1.610000,1.750000,1.750000,355500
2019-08-06,1.770000,1.820000,1.640000,1.750000,1.750000,157700
