Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,3.400000,3.500000,3.300000,3.400000,3.400000,120800
2019-04-02,3.500000,4.000000,3.500000,3.700000,3.700000,158100
2019-04-03,3.700000,3.700000,3.500000,3.600000,3.600000,23800
2019-04-04,3.500000,3.600000,3.300000,3.400000,3.400000,73900
2019-04-05,3.500000,3.500000,3.000000,3.200000,3.200000,127600
2019-04-08,3.300000,3.400000,3.000000,3.200000,3.200000,167700
2019-04-09,3.300000,3.400000,3.200000,3.200000,3.200000,80900
2019-04-10,3.400000,4.100000,3.400000,3.600000,3.600000,587100
2019-04-11,3.800000,3.800000,3.400000,3.400000,3.400000,137800
2019-04-12,3.600000,3.600000,3.300000,3.400000,3.400000,41000
2019-04-15,3.300000,3.300000,3.100000,3.300000,3.300000,54400
2019-04-16,3.200000,3.300000,3.200000,3.200000,3.200000,24900
2019-04-17,3.200000,3.300000,3.200000,3.200000,3.200000,40000
2019-04-18,3.300000,3.300000,3.100000,3.300000,3.300000,49400
2019-04-22,3.200000,3.400000,3.100000,3.300000,3.300000,76300
2019-04-23,3.300000,3.300000,3.200000,3.200000,3.200000,34700
2019-04-24,3.300000,3.400000,3.200000,3.200000,3.200000,17000
2019-04-25,3.400000,3.800000,3.200000,3.300000,3.300000,262200
2019-04-26,3.200000,3.400000,3.200000,3.400000,3.400000,10500
2019-04-29,3.400000,3.500000,3.100000,3.300000,3.300000,53200
2019-04-30,3.300000,3.400000,3.100000,3.200000,3.200000,67800
2019-05-01,3.200000,3.300000,3.200000,3.200000,3.200000,11400
2019-05-02,3.200000,3.300000,3.000000,3.000000,3.000000,52100
2019-05-03,3.100000,3.200000,3.100000,3.100000,3.100000,13300
2019-05-06,3.100000,3.100000,3.100000,3.100000,3.100000,25600
2019-05-07,3.000000,3.000000,2.900000,2.900000,2.900000,68300
2019-05-08,2.800000,2.800000,2.800000,2.800000,2.800000,65100
2019-05-09,2.800000,2.800000,2.700000,2.800000,2.800000,53400
2019-05-10,2.800000,2.800000,2.200000,2.400000,2.400000,228000
2019-05-13,2.440000,3.180000,2.300000,2.750000,2.750000,30600
2019-05-14,2.750000,2.750000,2.150000,2.360000,2.360000,40000
2019-05-15,2.300000,2.330000,2.280000,2.280000,2.280000,10400
2019-05-16,2.090000,2.170000,1.450000,1.660000,1.660000,140100
2019-05-17,1.560000,1.910000,1.560000,1.620000,1.620000,57100
2019-05-20,1.660000,1.660000,1.260000,1.490000,1.490000,109800
2019-05-21,1.790000,1.790000,1.400000,1.400000,1.400000,51100
2019-05-22,1.420000,1.600000,1.350000,1.520000,1.520000,48700
2019-05-23,1.540000,1.680000,1.490000,1.570000,1.570000,26600
2019-05-24,1.540000,1.860000,1.500000,1.650000,1.650000,101300
2019-05-28,1.730000,1.860000,1.650000,1.650000,1.650000,167700
2019-05-29,1.620000,1.690000,1.540000,1.550000,1.550000,30200
2019-05-30,1.660000,1.660000,1.560000,1.560000,1.560000,6300
2019-05-31,1.550000,1.650000,1.340000,1.650000,1.650000,55800
2019-06-03,1.620000,3.740000,1.380000,2.970000,2.970000,1146600
2019-06-04,2.390000,2.550000,2.050000,2.320000,2.320000,396300
2019-06-05,2.300000,2.300000,2.100000,2.250000,2.250000,47900
2019-06-06,2.320000,2.320000,1.810000,1.810000,1.810000,58300
2019-06-07,1.810000,2.020000,1.740000,1.740000,1.740000,16000
2019-06-10,1.730000,1.760000,1.560000,1.670000,1.670000,32000
2019-06-11,1.640000,1.800000,1.600000,1.600000,1.600000,26400
2019-06-12,1.620000,1.670000,1.570000,1.600000,1.600000,20500
2019-06-13,1.530000,1.690000,1.530000,1.550000,1.550000,10200
2019-06-14,1.550000,1.630000,1.410000,1.530000,1.530000,9300
2019-06-17,1.470000,3.570000,1.470000,2.150000,2.150000,6894200
2019-06-18,1.910000,1.940000,1.620000,1.790000,1.790000,557000
2019-06-19,1.820000,1.830000,1.580000,1.670000,1.670000,133400
2019-06-20,1.650000,1.700000,1.560000,1.630000,1.630000,65900
2019-06-21,1.580000,1.640000,1.520000,1.640000,1.640000,83000
2019-06-24,1.580000,1.690000,1.480000,1.480000,1.480000,82800
2019-06-25,1.490000,2.320000,1.440000,1.710000,1.710000,2523700
2019-06-26,1.680000,1.700000,1.530000,1.610000,1.610000,156000
2019-06-27,1.590000,1.650000,1.550000,1.620000,1.620000,24800
2019-06-28,1.650000,1.680000,1.560000,1.600000,1.600000,27900
2019-07-01,1.660000,1.760000,1.610000,1.670000,1.670000,72500
2019-07-02,1.660000,1.690000,1.530000,1.600000,1.600000,61900
2019-07-03,1.580000,1.600000,1.530000,1.570000,1.570000,15000
2019-07-05,1.560000,1.670000,1.550000,1.600000,1.600000,36800
2019-07-08,1.630000,1.650000,1.550000,1.590000,1.590000,45400
2019-07-09,1.570000,1.670000,1.570000,1.650000,1.650000,58500
2019-07-10,6.580000,8.000000,4.000000,4.100000,4.100000,36612200
2019-07-11,3.430000,3.440000,1.760000,1.800000,1.800000,8907800
2019-07-12,1.770000,1.770000,1.600000,1.610000,1.610000,2507500
2019-07-15,1.680000,1.680000,1.420000,1.460000,1.460000,3146800
